               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.93513,             0.59606,              1.4654,                   1,             0.99891,               0.995,             0.85166,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,             0.96073,             0.60462,              1.4462,             0.99496,                   1,               0.995,             0.87426,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,             0.93596,             0.57923,              1.4675,             0.99932,                   1,               0.995,             0.86077,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,             0.92885,             0.57676,              1.4497,             0.99946,                   1,               0.995,             0.86914,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,             0.92624,              0.5834,               1.448,             0.99869,                   1,               0.995,             0.87105,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.90516,             0.55709,              1.4186,             0.99935,                   1,               0.995,             0.86632,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,             0.89358,             0.55244,                1.43,             0.98986,             0.98632,              0.9948,             0.83953,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,             0.86823,             0.54591,              1.4094,             0.99962,                   1,               0.995,             0.88144,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,             0.84866,             0.52164,              1.4186,             0.99947,                   1,               0.995,             0.83203,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,             0.88232,             0.54018,              1.4298,             0.99966,                   1,               0.995,             0.89446,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.90086,              0.5667,               1.416,             0.99449,                   1,               0.995,             0.87335,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,             0.86167,             0.53562,              1.3991,             0.99929,                   1,               0.995,              0.8962,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,             0.87524,             0.53651,              1.4117,             0.99935,                   1,               0.995,             0.87323,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,             0.86305,             0.54061,              1.4185,             0.99937,                   1,               0.995,             0.86758,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,             0.85221,             0.52854,              1.3879,             0.99935,                   1,               0.995,             0.84489,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,             0.83447,             0.50521,              1.3898,             0.99489,             0.98289,              0.9947,             0.86021,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.83982,             0.51034,              1.3767,             0.98307,             0.98485,              0.9947,             0.88243,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,             0.85591,             0.52742,              1.4119,             0.99921,                   1,               0.995,             0.88894,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,             0.83782,             0.50271,              1.3817,             0.99831,                   1,               0.995,             0.88832,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,             0.81991,             0.51083,               1.387,                   1,             0.99954,               0.995,             0.89014,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              0.8234,             0.51081,              1.3641,             0.99955,                   1,               0.995,             0.87522,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.84711,             0.51214,              1.3999,             0.99966,                   1,               0.995,             0.89014,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,             0.80869,             0.49009,              1.3709,             0.99936,                   1,               0.995,             0.88814,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,             0.80747,              0.5007,              1.3775,             0.99926,                   1,               0.995,             0.87379,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,             0.85013,             0.50005,              1.3761,             0.99945,                   1,               0.995,              0.8609,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,             0.82957,             0.49849,              1.3681,             0.99944,                   1,               0.995,             0.88287,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,             0.81006,              0.4742,               1.338,              0.9994,                   1,               0.995,             0.88318,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,             0.82775,             0.48914,              1.3691,             0.99958,                   1,               0.995,             0.90041,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,             0.81394,             0.47968,              1.3594,             0.99923,                   1,               0.995,             0.86498,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,             0.80245,             0.48058,              1.3686,              0.9991,                   1,               0.995,             0.87305,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,             0.78968,             0.45874,              1.3418,             0.99962,                   1,               0.995,             0.88489,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,             0.81023,             0.48999,              1.3825,             0.99951,                   1,               0.995,             0.85832,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,             0.78528,             0.46411,              1.3564,             0.99812,                   1,               0.995,             0.87821,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.83075,             0.49124,              1.3874,             0.99935,                   1,               0.995,             0.87391,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,             0.78634,             0.46944,              1.3317,             0.99924,                   1,               0.995,              0.8654,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,             0.78974,             0.46556,              1.3491,             0.99941,                   1,               0.995,             0.86365,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,             0.77962,             0.45891,              1.3606,             0.99814,                   1,               0.995,              0.8726,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,             0.74887,             0.44636,               1.309,             0.99157,             0.99495,               0.995,             0.85802,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,             0.79378,             0.47039,              1.3566,             0.99961,                   1,               0.995,             0.88817,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,             0.77198,             0.45896,              1.3239,             0.99972,                   1,               0.995,             0.89394,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,             0.75401,             0.44611,              1.3321,             0.99958,                   1,               0.995,             0.85492,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,             0.75169,             0.44923,              1.3275,             0.99945,                   1,               0.995,             0.87992,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,             0.75502,             0.44901,              1.3277,             0.99938,                   1,               0.995,             0.88215,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,             0.77203,             0.45991,              1.3321,             0.99905,                   1,               0.995,             0.86911,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,             0.74817,             0.45512,              1.3308,             0.99967,                   1,               0.995,             0.88435,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,             0.76918,             0.44345,              1.3251,             0.99963,                   1,               0.995,             0.87108,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,             0.76019,             0.45304,              1.3058,             0.99951,                   1,               0.995,             0.88601,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,             0.74437,             0.44387,              1.3105,             0.99965,                   1,               0.995,             0.88769,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,             0.76729,             0.45759,              1.3146,             0.99929,                   1,               0.995,             0.88418,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.77638,             0.45089,              1.3342,             0.99737,                   1,               0.995,              0.8787,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,             0.72199,             0.43015,              1.2936,             0.99898,                   1,               0.995,             0.88696,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,             0.74533,             0.43738,              1.3227,             0.99939,                   1,               0.995,             0.89404,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.73685,             0.44648,              1.3167,             0.99971,                   1,               0.995,             0.87903,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              0.7706,              0.4511,              1.3413,                   1,             0.99962,               0.995,             0.88526,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,             0.74525,             0.44453,              1.3216,             0.99914,                   1,               0.995,             0.88783,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,             0.74482,             0.43421,              1.3026,              0.9994,                   1,               0.995,             0.86494,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,             0.73883,             0.42965,               1.317,             0.99962,                   1,               0.995,             0.86559,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,             0.74526,             0.42864,              1.2929,              0.9993,                   1,               0.995,             0.88533,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,             0.72123,             0.42688,              1.3096,             0.99958,                   1,               0.995,             0.88885,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.72059,             0.40971,              1.3055,             0.99965,                   1,               0.995,             0.87465,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,             0.73763,             0.42625,              1.3269,             0.99964,                   1,               0.995,             0.89207,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
